id,name,category,kcal,protein,fat,carbs,fiber,potassium,phosphorus,calcium,weightPerUnit
chicken,鶏胸肉,肉類,165,31,3.6,0,0,256,220,11,150
chicken_thigh,鶏もも肉,肉類,208,19,13,0,0,270,200,12,150
beef,牛肉（ひき肉）,肉類,250,26,17,0,0,320,230,12,150
salmon,サーモン,魚類,208,20,13,0,0,363,290,12,150
egg,卵,卵,155,13,11,1,0,126,198,56,50
tofu,豆腐,大豆,76,8,5,1.5,0.7,180,120,140,150
cabbage,キャベツ,野菜,25,1.3,0.1,5.8,2.5,170,27,40,200
carrot,にんじん,野菜,41,0.9,0.2,9.6,2.8,320,35,33,80
sweet_potato,さつまいも,野菜,86,1.6,0.1,20.1,3,337,47,30,150
rice,ご飯（炊飯後）,主食,130,2.7,0.3,28.1,0.4,35,58,10,150
broccoli,ブロッコリー,野菜,34,2.8,0.4,6.6,2.6,316,66,47,120
potato,じゃがいも,野菜,77,2,0.1,17.5,2.2,421,57,10,150
yogurt,ヨーグルト,乳製品,61,10,1.5,3.6,0,141,94,150,150
olive_oil,オリーブオイル,油脂,884,0,100,0,0,1,0,1,15
asparagus,アスパラガス,野菜,22,2.2,0.2,3.9,2.1,270,60,19,100
bean_sprouts,もやし,野菜,15,1.7,0.1,2.6,1.3,69,42,10,200
green_pepper,ピーマン,野菜,22,0.9,0.2,5.1,2.3,190,22,11,100
red_pepper,赤ピーマン,野菜,30,1.0,0.2,6.6,1.6,210,22,7,100
yellow_pepper,黄ピーマン,野菜,27,0.9,0.2,6.1,1.3,200,20,10,100
zucchini,ズッキーニ,野菜,16,1.2,0.2,3.1,1.0,320,30,24,150
eggplant,なす,野菜,18,1.1,0.1,5.1,2.2,220,30,18,150
okra,オクラ,野菜,30,2.1,0.2,6.6,5.0,260,66,92,100
celery,セロリ,野菜,15,0.7,0.2,3.6,1.5,410,39,39,100
lettuce,レタス,野菜,12,0.6,0.1,2.8,1.1,200,22,19,100
romaine_lettuce,ロメインレタス,野菜,17,1.2,0.3,3.3,2.1,247,30,33,100
komatsuna,小松菜,野菜,14,1.5,0.2,2.4,1.9,500,45,170,100
chinese_cabbage,白菜,野菜,14,0.8,0.1,3.2,1.3,220,33,43,200
radish,だいこん,野菜,18,0.5,0.1,4.1,1.4,230,18,24,150
radish_leaf,大根の葉,野菜,25,2.2,0.1,5.0,4.0,400,52,260,100
turnip,かぶ,野菜,20,0.7,0.1,4.6,1.5,280,28,24,150
turnip_leaf,かぶの葉,野菜,20,2.3,0.1,3.7,2.6,330,55,190,100
burdock,ごぼう,野菜,58,1.8,0.1,15.4,5.7,320,62,46,100
lotus_root,れんこん,野菜,66,1.9,0.1,15.5,2.0,440,74,20,100
ginger,しょうが,野菜,30,0.9,0.3,6.6,2.1,270,23,12,50
garlic,にんにく,野菜,136,6.4,0.9,27.5,6.2,530,153,14,30
onion,たまねぎ,野菜,33,1.0,0.1,8.4,1.6,150,33,21,150
green_onion,長ねぎ,野菜,34,1.4,0.1,8.3,2.0,200,26,31,100
corn,とうもろこし,野菜,89,3.2,1.2,19.0,2.7,270,89,2,150
edamame,枝豆,豆類,134,11.5,6.1,8.8,5.0,490,170,58,100
green_peas,グリーンピース,豆類,81,5.4,0.4,14.5,5.1,271,99,25,100
snap_pea,スナップえんどう,野菜,43,3.0,0.2,7.0,2.4,160,60,32,100
snow_pea,さやえんどう,野菜,36,3.0,0.2,7.0,3.0,200,60,38,100
fava_bean,そら豆,豆類,108,10.9,0.2,15.5,4.0,440,220,100,100
shiitake,しいたけ,きのこ,25,3.1,0.4,6.4,4.2,280,73,10,100
enoki,えのきたけ,きのこ,34,2.7,0.2,7.6,3.9,340,120,0,100
shimeji,ぶなしめじ,きのこ,18,2.7,0.5,4.8,3.7,380,100,1,100
maitake,まいたけ,きのこ,22,2.0,0.5,4.4,2.7,230,74,0,100
oyster_mushroom,ひらたけ,きのこ,20,3.3,0.3,4.8,2.4,340,100,1,100
nameko,なめこ,きのこ,15,1.7,0.2,3.6,3.2,230,51,4,100
wood_ear,きくらげ,きのこ,13,0.6,0.2,5.2,5.6,37,16,35,100
cherry_tomato,ミニトマト,野菜,29,1.1,0.1,5.8,1.4,290,29,12,100
avocado,アボカド,果物,176,2.1,17.5,7.9,5.3,590,55,9,100
beet,ビーツ,野菜,41,1.6,0.1,9.3,2.7,460,42,12,100
pumpkin,かぼちゃ,野菜,78,1.9,0.3,20.6,3.5,430,42,15,150
chayote,ハヤトウリ,野菜,20,0.6,0.1,4.3,1.7,150,18,13,150
fennel,フェンネル,野菜,31,1.2,0.2,7.3,3.1,414,50,49,100
watercress,クレソン,野菜,15,2.3,0.1,2.3,1.5,330,60,110,50
shiso,大葉,野菜,37,3.9,0.1,7.5,3.9,500,65,230,20
myoga,みょうが,野菜,12,0.9,0.1,2.6,2.1,210,31,25,50
chives,あさつき,野菜,33,2.3,0.2,7.0,2.5,330,55,80,50
pea_shoots,豆苗,野菜,27,3.8,0.4,3.2,2.2,240,70,18,100
water_spinach,空心菜,野菜,17,2.2,0.3,3.1,2.1,380,45,74,100
mustard_greens,からし菜,野菜,26,2.9,0.2,4.5,2.5,620,58,140,100
chicory,チコリ,野菜,17,1.2,0.2,3.4,3.1,290,26,44,100
artichoke,アーティチョーク,野菜,47,3.3,0.2,10.5,5.4,370,90,44,100
